threshold,smoothing_method,smoothing_alpha,consecutive_k,positive_records,future_support,predicted_positive_windows,future_precision,future_recall,events,detected_events,event_recall,median_lead_time_sec,false_alert_windows,false_alert_episodes,patient_hours,false_alert_episodes_per_patient_hour,score_name,gate_passed
0.12,ewma,0.65,2,8,96,428,0.07710280373831775,0.34375,14,8,0.5714285714285714,170.0,281,25,11.574999999999998,2.1598272138228944,vt_vf_vs_normal,False
0.15,ewma,0.65,2,8,96,371,0.08355795148247978,0.3229166666666667,14,8,0.5714285714285714,170.0,244,20,11.574999999999998,1.7278617710583157,vt_vf_vs_normal,False
0.2,ewma,0.65,2,8,96,311,0.0932475884244373,0.3020833333333333,14,5,0.35714285714285715,240.0,208,17,11.574999999999998,1.4686825053995685,vt_vf_vs_normal,False
0.25,ewma,0.65,2,8,96,278,0.10431654676258993,0.3020833333333333,14,5,0.35714285714285715,220.0,179,17,11.574999999999998,1.4686825053995685,vt_vf_vs_normal,False
0.3,ewma,0.65,2,8,96,234,0.12393162393162394,0.3020833333333333,14,4,0.2857142857142857,260.0,141,17,11.574999999999998,1.4686825053995685,vt_vf_vs_normal,False
0.4,ewma,0.65,2,8,96,162,0.17901234567901234,0.3020833333333333,14,4,0.2857142857142857,195.0,84,10,11.574999999999998,0.8639308855291579,vt_vf_vs_normal,True
0.5,ewma,0.65,2,8,96,118,0.2457627118644068,0.3020833333333333,14,3,0.21428571428571427,290.0,45,11,11.574999999999998,0.9503239740820736,vt_vf_vs_normal,True
0.6,ewma,0.65,2,8,96,61,0.39344262295081966,0.25,14,3,0.21428571428571427,240.0,19,5,11.574999999999998,0.43196544276457893,vt_vf_vs_normal,True
0.7,ewma,0.65,2,8,96,4,1.0,0.041666666666666664,14,1,0.07142857142857142,-10.0,0,0,11.574999999999998,0.0,vt_vf_vs_normal,False
0.8,ewma,0.65,2,8,96,0,0.0,0.0,14,0,0.0,,0,0,11.574999999999998,0.0,vt_vf_vs_normal,False
0.02,raw,1.0,1,8,91,957,0.06896551724137931,0.7252747252747253,13,8,0.6153846153846154,275.0,794,103,11.574999999999998,8.898488120950326,tachy_vs_normal,False
0.03,raw,1.0,1,8,91,860,0.07209302325581396,0.6813186813186813,13,8,0.6153846153846154,240.0,710,93,11.574999999999998,8.034557235421168,tachy_vs_normal,False
0.04,raw,1.0,1,8,91,788,0.07741116751269035,0.6703296703296703,13,8,0.6153846153846154,240.0,641,86,11.574999999999998,7.429805615550758,tachy_vs_normal,False
0.05,raw,1.0,1,8,91,739,0.07442489851150202,0.6043956043956044,13,6,0.46153846153846156,225.0,604,85,11.574999999999998,7.343412526997842,tachy_vs_normal,False
0.06,raw,1.0,1,8,91,702,0.07264957264957266,0.5604395604395604,13,6,0.46153846153846156,220.0,574,86,11.574999999999998,7.429805615550758,tachy_vs_normal,False
